Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Finland	2010	University of Turku	Beck	beck online premium	full text materials	6049.95901998427	5455	4560.04166209177	5455
Finland	2010	University of Turku	Benjamins	bibliography and handbook of translation studies; bibliography of pragmatics & handbook of pragmatics online	reference resource	1595.94702653664	1439	1202.91474825849	1439
Finland	2010	Government Institute for Economic Research (VATT)	Bloomberg BNA	bloomberg bna tax planning international european tax service	full text materials	1857.68677515557	1675	1400.19611072479	1675
Finland	2010	University of Oulu	BMJ Group	bmj journals online collection; bmj learning; best practice	full text materials; reference resource	14941.347005908	13472	11261.75642011	13472
Finland	2010	National Library	Brepols	aristoteles latinus (ald) & library of latin texts; aristoteles latinus -online (ald); in principio (online); the bibliography of british and irish history online ( bbih ); the cross database searchtool (llt); the database of latin dictionaries online (dld)	full text materials; reference resource	3349.38152893721	3020	2524.53268918738	3020
Finland	2010	University of Tampere	Brepols	international medieval bibliography	reference resource	964.888056349463	870	727.266039600337	870
Finland	2010	National Library	Brill	new pauly online encyclopaedia of the ancient world	reference resource	1211.10087072829	1092	912.844270394905	1092
Finland	2010	Humak University of Applied Sciences (Humak)	Britannica	encyclopedia britannica	ebook package	744.183776793666	671	560.914382266467	671
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	Britannica	encyclopedia britannica	ebook package	698.712040804783	630	526.64092522783	630
Finland	2010	Centria University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	3435.88873398924	3098	2589.73585135844	3098
Finland	2010	Diaconia University of Applied Sciences (Diak)	BTJ Kirjastopalvelu	aleksi	reference database	3435.88873398924	3098	2589.73585135844	3098
Finland	2010	Library of Parliament	BTJ Kirjastopalvelu	aleksi; artikelsök	reference database	5648.47686320438	5093	4257.4321145799	5093
Finland	2010	HAAGA-HELIA University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	4454.01199344763	4016	3357.12691383328	4016
